1,1,1,0,4,1,0
1,1,1,0,4,0,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,1,0
1,1,1,0,4,2,0
1,1,1,0,4,0,0
1,1,1,0,4,1,0
1,1,1,0,4,0,0
1,1,1,0,4,1,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,1,1,0,4,0,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,1,1,0,4,2,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,1,1,0,4,2,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,2,2,0,4,2,0
1,2,2,0,4,0,0
1,2,2,0,4,0,0
1,2,2,0,4,2,0
1,2,2,0,4,1,0
1,2,2,0,4,0,0
1,2,2,0,4,1,0
1,2,2,0,4,0,0
1,2,2,0,4,2,0
318,2,2,0,4,0,0
318,3,3,0,4,0,0
318,3,3,0,4,2,0
318,3,3,0,4,0,0
318,3,3,0,4,2,0
318,3,3,0,4,1,0
318,3,3,0,4,2,0
320,3,5,1,4,2,0
320,3,6,1,4,1,0
320,3,5,1,4,2,0
320,3,4,1,4,0,0
322,3,5,1,4,2,1
323,3,4,1,4,0,1
325,3,6,1,4,0,0
325,3,3,0,4,1,0
325,3,3,0,4,0,0
327,3,5,1,4,2,2
335,3,5,1,4,1,3
351,3,5,1,4,2,3
366,3,5,1,4,2,3
380,3,5,1,4,2,3
393,3,5,1,4,2,3
405,3,5,1,4,2,3
416,3,5,1,4,2,3
426,3,5,1,4,1,3
435,3,5,1,4,2,3
443,3,5,1,4,1,3
451,3,5,1,4,2,3
456,3,5,1,4,1,3
461,3,5,1,4,1,3
465,3,5,1,4,1,3
468,3,5,1,4,1,3
470,3,3,0,4,1,0
470,2,2,0,4,1,0
537,2,2,0,4,2,0
537,7,7,0,4,2,0
538,7,7,0,4,0,0
538,7,7,0,4,2,0
538,7,7,0,4,1,0
538,7,7,0,4,0,0
