1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,0,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,1,0
1,1,1,0,2,1,0
1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,1,1,0,4,1,0
1,1,1,0,2,1,0
1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,1,1,0,4,1,0
1,1,1,0,2,1,0
1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,2,0
1,1,1,0,2,2,0
1,1,1,0,4,0,0
1,1,1,0,2,0,0
1,2,2,0,4,0,0
1,2,2,0,2,0,0
1,2,2,0,4,2,0
1,2,2,0,2,2,0
1,2,2,0,4,1,0
1,2,2,0,2,1,0
1,2,2,0,4,1,0
1,2,2,0,2,1,0
1,2,2,0,4,1,0
1,2,2,0,2,1,0
1,2,2,0,4,2,0
1,2,2,0,2,2,0
1,2,2,0,4,0,0
1,2,2,0,2,0,0
1,2,2,0,4,2,0
1,2,2,0,2,2,0
1,2,2,0,4,1,0
1,2,2,0,2,1,0
33,2,2,0,4,0,0
33,2,2,0,2,0,0
33,3,3,0,4,0,0
33,3,3,0,2,0,0
33,3,3,0,4,0,0
33,3,3,0,2,0,0
33,3,3,0,4,1,0
33,3,3,0,2,1,0
33,3,3,0,4,0,0
33,3,3,0,2,0,0
33,3,3,0,4,2,0
34,3,3,0,2,2,0
34,3,4,1,4,2,0
34,3,5,1,4,1,0
34,3,6,1,4,0,0
34,3,5,1,2,1,0
34,3,6,1,2,0,0
34,3,5,1,4,1,0
34,3,6,1,4,0,0
34,3,6,1,2,0,0
35,3,4,1,3,2,1
35,3,6,1,4,2,0
36,3,4,1,4,0,1
37,3,5,1,3,1,1
37,3,5,1,4,1,1
39,3,6,1,3,2,1
39,3,6,1,4,2,1
41,3,4,1,3,0,2
41,3,4,1,4,0,2
42,3,5,1,3,1,2
42,3,5,1,4,1,2
44,3,6,1,3,2,2
44,3,6,1,4,2,2
49,3,4,1,3,0,3
49,3,4,1,4,0,3
50,3,5,1,3,1,3
50,3,5,1,4,1,3
52,3,6,1,3,2,3
52,3,6,1,4,2,3
65,3,4,1,3,0,3
65,3,4,1,4,0,3
66,3,5,1,3,1,3
66,3,5,1,4,1,3
68,3,6,1,3,2,3
68,3,6,1,4,2,3
80,3,4,1,3,0,3
80,3,4,1,4,0,3
81,3,5,1,3,1,3
81,3,5,1,4,1,3
83,3,6,1,3,2,3
83,3,6,1,4,2,3
94,3,4,1,3,0,3
94,3,4,1,4,0,3
95,3,5,1,3,1,3
95,3,5,1,4,1,3
97,3,6,1,3,2,3
107,3,4,1,3,0,3
107,3,4,1,4,0,3
108,3,5,1,3,1,3
108,3,5,1,4,1,3
110,3,6,1,3,2,3
110,3,6,1,4,2,3
119,3,4,1,3,0,3
119,3,4,1,4,0,3
121,3,5,1,3,1,3
121,3,5,1,4,1,3
123,3,6,1,3,2,3
123,3,6,1,4,2,3
130,3,4,1,3,0,3
130,3,4,1,4,0,3
132,3,5,1,3,1,3
132,3,5,1,4,1,3
